aahs	aa-s- 	a-hs- 	-ah- 	-ahs--- 	aah-- 	aahs---- 	aahs- 	aah- 	aahs- 	aahs- 	aahs- 	aahs- 	aahs- 	aahs- 	aahs- 	aahs- 	-ah----- 	aahs---- 	aahs---- 	----- 	aa---- 	aah----- 	aahs----- 	aahs----- 	--hs------ 	---s 	-a-s 	-ah- 	-ahs- 
AAII	AA-I- 	A-II- 	-AI- 	-AII--- 	AAI-- 	AAII---- 	AAII- 	AAI- 	AAII- 	AAII- 	AAII- 	AAII- 	AAII- 	AAII- 	AAII- 	AAII- 	-AI----- 	AAII---- 	AAII---- 	----- 	AA---- 	AAI----- 	AAII----- 	AAII----- 	--II------ 	---I 	-A-I 	-AI- 	-AII- 
aal	aa-- 	a-l- 	-al- 	-al--- 	aal-- 	aal---- 	aal- 	aal- 	aal- 	aal- 	aal- 	aal- 	aal- 	aal- 	aal- 	aal- 	-al----- 	aal---- 	aal---- 	----- 	aa---- 	aal----- 	aal----- 	aal----- 	--l------ 	--- 	-a- 	-al- 	-al- 
Aalborg	Aa-b-rg 	A-lbo-g 	-al-org 	-alb-r-- 	Aal-org- 	Aalbo-g--- 	Aalb-rg 	Aal-org 	Aalbo-g 	Aalborg- 	Aalborg- 	Aalborg- 	Aalborg- 	Aalborg- 	Aalborg- 	Aalborg- 	-al-org---- 	Aalborg---- 	Aalborg---- 	-----org 	Aa----rg 	Aal----- 	Aalbor----- 	Aalborg----- 	--lb--rg---- 	---borg 	-a-borg 	-al-org 	-alb-rg 
Aalesund	Aa-e-und 	A-les-nd 	-al-sund 	-ale-u-d- 	Aal-sund- 	Aales-nd--- 	Aale-und 	Aal-sund 	Aales-nd 	Aalesun- 	Aalesund- 	Aalesund- 	Aalesund- 	Aalesund- 	Aalesund- 	Aalesund- 	-al-sund---- 	Aalesun---- 	Aalesun---- 	-----sund 	Aa----und 	Aal-----d 	Aalesu----- 	Aalesun----- 	--le--und---- 	---esund 	-a-esund 	-al-sund 	-ale-und 
aalii	aa-i- 	a-lii- 	-al-i 	-ali--- 	aal-i- 	aalii---- 	aali- 	aal-i 	aalii- 	aalii- 	aalii- 	aalii- 	aalii- 	aalii- 	aalii- 	aalii- 	-al-i---- 	aalii---- 	aalii---- 	-----i 	aa---- 	aal----- 	aalii----- 	aalii----- 	--li------ 	---ii 	-a-ii 	-al-i 	-ali- 
aaliis	aa-i-s 	a-lii- 	-al-is 	-ali-s-- 	aal-is- 	aalii---- 	aali-s 	aal-is 	aalii- 	aaliis- 	aaliis- 	aaliis- 	aaliis- 	aaliis- 	aaliis- 	aaliis- 	-al-is---- 	aaliis---- 	aaliis---- 	-----is 	aa----s 	aal----- 	aaliis----- 	aaliis----- 	--li--s---- 	---iis 	-a-iis 	-al-is 	-ali-s 
aals	aa-s- 	a-ls- 	-al- 	-als--- 	aal-- 	aals---- 	aals- 	aal- 	aals- 	aals- 	aals- 	aals- 	aals- 	aals- 	aals- 	aals- 	-al----- 	aals---- 	aals---- 	----- 	aa---- 	aal----- 	aals----- 	aals----- 	--ls------ 	---s 	-a-s 	-al- 	-als- 
Aalst	Aa-s- 	A-lst- 	-al-t 	-als--- 	Aal-t- 	Aalst---- 	Aals- 	Aal-t 	Aalst- 	Aalst- 	Aalst- 	Aalst- 	Aalst- 	Aalst- 	Aalst- 	Aalst- 	-al-t---- 	Aalst---- 	Aalst---- 	-----t 	Aa---- 	Aal----- 	Aalst----- 	Aalst----- 	--ls------ 	---st 	-a-st 	-al-t 	-als- 
Aalto	Aa-t- 	A-lto- 	-al-o 	-alt--- 	Aal-o- 	Aalto---- 	Aalt- 	Aal-o 	Aalto- 	Aalto- 	Aalto- 	Aalto- 	Aalto- 	Aalto- 	Aalto- 	Aalto- 	-al-o---- 	Aalto---- 	Aalto---- 	-----o 	Aa---- 	Aal----- 	Aalto----- 	Aalto----- 	--lt------ 	---to 	-a-to 	-al-o 	-alt- 
AAM	AA-- 	A-M- 	-AM- 	-AM--- 	AAM-- 	AAM---- 	AAM- 	AAM- 	AAM- 	AAM- 	AAM- 	AAM- 	AAM- 	AAM- 	AAM- 	AAM- 	-AM----- 	AAM---- 	AAM---- 	----- 	AA---- 	AAM----- 	AAM----- 	AAM----- 	--M------ 	--- 	-A- 	-AM- 	-AM- 
AAMSI	AA-S- 	A-MSI- 	-AM-I 	-AMS--- 	AAM-I- 	AAMSI---- 	AAMS- 	AAM-I 	AAMSI- 	AAMSI- 	AAMSI- 	AAMSI- 	AAMSI- 	AAMSI- 	AAMSI- 	AAMSI- 	-AM-I---- 	AAMSI---- 	AAMSI---- 	-----I 	AA---- 	AAM----- 	AAMSI----- 	AAMSI----- 	--MS------ 	---SI 	-A-SI 	-AM-I 	-AMS- 
Aandahl	Aa-d-hl 	A-nda-l 	-an-ahl 	-and-h-- 	Aan-ahl- 	Aanda-l--- 	Aand-hl 	Aan-ahl 	Aanda-l 	Aandahl- 	Aandahl- 	Aandahl- 	Aandahl- 	Aandahl- 	Aandahl- 	Aandahl- 	-an-ahl---- 	Aandahl---- 	Aandahl---- 	-----ahl 	Aa----hl 	Aan----- 	Aandah----- 	Aandahl----- 	--nd--hl---- 	---dahl 	-a-dahl 	-an-ahl 	-and-hl 
Aani	Aa-i- 	A-ni- 	-an- 	-ani--- 	Aan-- 	Aani---- 	Aani- 	Aan- 	Aani- 	Aani- 	Aani- 	Aani- 	Aani- 	Aani- 	Aani- 	Aani- 	-an----- 	Aani---- 	Aani---- 	----- 	Aa---- 	Aan----- 	Aani----- 	Aani----- 	--ni------ 	---i 	-a-i 	-an- 	-ani- 
AAO	AA-- 	A-O- 	-AO- 	-AO--- 	AAO-- 	AAO---- 	AAO- 	AAO- 	AAO- 	AAO- 	AAO- 	AAO- 	AAO- 	AAO- 	AAO- 	AAO- 	-AO----- 	AAO---- 	AAO---- 	----- 	AA---- 	AAO----- 	AAO----- 	AAO----- 	--O------ 	--- 	-A- 	-AO- 	-AO- 
AAP	AA-- 	A-P- 	-AP- 	-AP--- 	AAP-- 	AAP---- 	AAP- 	AAP- 	AAP- 	AAP- 	AAP- 	AAP- 	AAP- 	AAP- 	AAP- 	AAP- 	-AP----- 	AAP---- 	AAP---- 	----- 	AA---- 	AAP----- 	AAP----- 	AAP----- 	--P------ 	--- 	-A- 	-AP- 	-AP- 
AAPSS	AA-S- 	A-PSS- 	-AP-S 	-APS--- 	AAP-S- 	AAPSS---- 	AAPS- 	AAP-S 	AAPSS- 	AAPSS- 	AAPSS- 	AAPSS- 	AAPSS- 	AAPSS- 	AAPSS- 	AAPSS- 	-AP-S---- 	AAPSS---- 	AAPSS---- 	-----S 	AA---- 	AAP----- 	AAPSS----- 	AAPSS----- 	--PS------ 	---SS 	-A-SS 	-AP-S 	-APS- 
Aaqbiye	Aa-b-ye 	A-qbi-e 	-aq-iye 	-aqb-y-- 	Aaq-iye- 	Aaqbi-e--- 	Aaqb-ye 	Aaq-iye 	Aaqbi-e 	Aaqbiye- 	Aaqbiye- 	Aaqbiye- 	Aaqbiye- 	Aaqbiye- 	Aaqbiye- 	Aaqbiye- 	-aq-iye---- 	Aaqbiye---- 	Aaqbiye---- 	-----iye 	Aa----ye 	Aaq----- 	Aaqbiy----- 	Aaqbiye----- 	--qb--ye---- 	---biye 	-a-biye 	-aq-iye 	-aqb-ye 
Aar	Aa-- 	A-r- 	-ar- 	-ar--- 	Aar-- 	Aar---- 	Aar- 	Aar- 	Aar- 	Aar- 	Aar- 	Aar- 	Aar- 	Aar- 	Aar- 	Aar- 	-ar----- 	Aar---- 	Aar---- 	----- 	Aa---- 	Aar----- 	Aar----- 	Aar----- 	--r------ 	--- 	-a- 	-ar- 	-ar- 
Aara	Aa-a- 	A-ra- 	-ar- 	-ara--- 	Aar-- 	Aara---- 	Aara- 	Aar- 	Aara- 	Aara- 	Aara- 	Aara- 	Aara- 	Aara- 	Aara- 	Aara- 	-ar----- 	Aara---- 	Aara---- 	----- 	Aa---- 	Aar----- 	Aara----- 	Aara----- 	--ra------ 	---a 	-a-a 	-ar- 	-ara- 
Aarau	Aa-a- 	A-rau- 	-ar-u 	-ara--- 	Aar-u- 	Aarau---- 	Aara- 	Aar-u 	Aarau- 	Aarau- 	Aarau- 	Aarau- 	Aarau- 	Aarau- 	Aarau- 	Aarau- 	-ar-u---- 	Aarau---- 	Aarau---- 	-----u 	Aa---- 	Aar----- 	Aarau----- 	Aarau----- 	--ra------ 	---au 	-a-au 	-ar-u 	-ara- 
AARC	AA-C- 	A-RC- 	-AR- 	-ARC--- 	AAR-- 	AARC---- 	AARC- 	AAR- 	AARC- 	AARC- 	AARC- 	AARC- 	AARC- 	AARC- 	AARC- 	AARC- 	-AR----- 	AARC---- 	AARC---- 	----- 	AA---- 	AAR----- 	AARC----- 	AARC----- 	--RC------ 	---C 	-A-C 	-AR- 	-ARC- 
aardvark	aa-d-ark 	a-rdv-rk 	-ar-vark 	-ard-a-k- 	aar-vark- 	aardv-rk--- 	aard-ark 	aar-vark 	aardv-rk 	aardvar- 	aardvark- 	aardvark- 	aardvark- 	aardvark- 	aardvark- 	aardvark- 	-ar-vark---- 	aardvar---- 	aardvar---- 	-----vark 	aa----ark 	aar-----k 	aardva----- 	aardvar----- 	--rd--ark---- 	---dvark 	-a-dvark 	-ar-vark 	-ard-ark 
aardvarks	aa-d-arks 	a-rdv-rks 	-ar-varks 	-ard-a-k- 	aar-varks- 	aardv-rks--- 	aard-arks 	aar-varks 	aardv-rks 	aardvar-s 	aardvark- 	aardvarks- 	aardvarks- 	aardvarks- 	aardvarks- 	aardvarks- 	-ar-varks---- 	aardvar-s--- 	aardvar-s--- 	-----varks 	aa----arks 	aar-----ks 	aardva----- 	aardvar----- 	--rd--arks---- 	---dvarks 	-a-dvarks 	-ar-varks 	-ard-arks 
aardwolf	aa-d-olf 	a-rdw-lf 	-ar-wolf 	-ard-o-f- 	aar-wolf- 	aardw-lf--- 	aard-olf 	aar-wolf 	aardw-lf 	aardwol- 	aardwolf- 	aardwolf- 	aardwolf- 	aardwolf- 	aardwolf- 	aardwolf- 	-ar-wolf---- 	aardwol---- 	aardwol---- 	-----wolf 	aa----olf 	aar-----f 	aardwo----- 	aardwol----- 	--rd--olf---- 	---dwolf 	-a-dwolf 	-ar-wolf 	-ard-olf 
aardwolves	aa-d-olves 	a-rdw-lves 	-ar-wolves 	-ard-o-v-s 	aar-wolve- 	aardw-lve--- 	aard-olves 	aar-wolves 	aardw-lves 	aardwol-es 	aardwolv-s 	aardwolve- 	aardwolves- 	aardwolves- 	aardwolves- 	aardwolves- 	-ar-wolve---- 	aardwol-e--- 	aardwol-e--- 	-----wolves 	aa----olves 	aar-----ves 	aardwo----- 	aardwol----- 	--rd--olves---- 	---dwolves 	-a-dwolves 	-ar-wolves 	-ard-olves 
Aaren	Aa-e- 	A-ren- 	-ar-n 	-are--- 	Aar-n- 	Aaren---- 	Aare- 	Aar-n 	Aaren- 	Aaren- 	Aaren- 	Aaren- 	Aaren- 	Aaren- 	Aaren- 	Aaren- 	-ar-n---- 	Aaren---- 	Aaren---- 	-----n 	Aa---- 	Aar----- 	Aaren----- 	Aaren----- 	--re------ 	---en 	-a-en 	-ar-n 	-are- 
Aargau	Aa-g-u 	A-rga- 	-ar-au 	-arg-u-- 	Aar-au- 	Aarga---- 	Aarg-u 	Aar-au 	Aarga- 	Aargau- 	Aargau- 	Aargau- 	Aargau- 	Aargau- 	Aargau- 	Aargau- 	-ar-au---- 	Aargau---- 	Aargau---- 	-----au 	Aa----u 	Aar----- 	Aargau----- 	Aargau----- 	--rg--u---- 	---gau 	-a-gau 	-ar-au 	-arg-u 
aargh	aa-g- 	a-rgh- 	-ar-h 	-arg--- 	aar-h- 	aargh---- 	aarg- 	aar-h 	aargh- 	aargh- 	aargh- 	aargh- 	aargh- 	aargh- 	aargh- 	aargh- 	-ar-h---- 	aargh---- 	aargh---- 	-----h 	aa---- 	aar----- 	aargh----- 	aargh----- 	--rg------ 	---gh 	-a-gh 	-ar-h 	-arg- 
Aarhus	Aa-h-s 	A-rhu- 	-ar-us 	-arh-s-- 	Aar-us- 	Aarhu---- 	Aarh-s 	Aar-us 	Aarhu- 	Aarhus- 	Aarhus- 	Aarhus- 	Aarhus- 	Aarhus- 	Aarhus- 	Aarhus- 	-ar-us---- 	Aarhus---- 	Aarhus---- 	-----us 	Aa----s 	Aar----- 	Aarhus----- 	Aarhus----- 	--rh--s---- 	---hus 	-a-hus 	-ar-us 	-arh-s 
Aarika	Aa-i-a 	A-rik- 	-ar-ka 	-ari-a-- 	Aar-ka- 	Aarik---- 	Aari-a 	Aar-ka 	Aarik- 	Aarika- 	Aarika- 	Aarika- 	Aarika- 	Aarika- 	Aarika- 	Aarika- 	-ar-ka---- 	Aarika---- 	Aarika---- 	-----ka 	Aa----a 	Aar----- 	Aarika----- 	Aarika----- 	--ri--a---- 	---ika 	-a-ika 	-ar-ka 	-ari-a 
Aaron	Aa-o- 	A-ron- 	-ar-n 	-aro--- 	Aar-n- 	Aaron---- 	Aaro- 	Aar-n 	Aaron- 	Aaron- 	Aaron- 	Aaron- 	Aaron- 	Aaron- 	Aaron- 	Aaron- 	-ar-n---- 	Aaron---- 	Aaron---- 	-----n 	Aa---- 	Aar----- 	Aaron----- 	Aaron----- 	--ro------ 	---on 	-a-on 	-ar-n 	-aro- 
Aaronic	Aa-o-ic 	A-ron-c 	-ar-nic 	-aro-i-- 	Aar-nic- 	Aaron-c--- 	Aaro-ic 	Aar-nic 	Aaron-c 	Aaronic- 	Aaronic- 	Aaronic- 	Aaronic- 	Aaronic- 	Aaronic- 	Aaronic- 	-ar-nic---- 	Aaronic---- 	Aaronic---- 	-----nic 	Aa----ic 	Aar----- 	Aaroni----- 	Aaronic----- 	--ro--ic---- 	---onic 	-a-onic 	-ar-nic 	-aro-ic 
Aaronical	Aa-o-ical 	A-ron-cal 	-ar-nical 	-aro-i-a- 	Aar-nical- 	Aaron-cal--- 	Aaro-ical 	Aar-nical 	Aaron-cal 	Aaronic-l 	Aaronica- 	Aaronical- 	Aaronical- 	Aaronical- 	Aaronical- 	Aaronical- 	-ar-nical---- 	Aaronic-l--- 	Aaronic-l--- 	-----nical 	Aa----ical 	Aar-----al 	Aaroni----- 	Aaronic----- 	--ro--ical---- 	---onical 	-a-onical 	-ar-nical 	-aro-ical 
Aaronite	Aa-o-ite 	A-ron-te 	-ar-nite 	-aro-i-e- 	Aar-nite- 	Aaron-te--- 	Aaro-ite 	Aar-nite 	Aaron-te 	Aaronit- 	Aaronite- 	Aaronite- 	Aaronite- 	Aaronite- 	Aaronite- 	Aaronite- 	-ar-nite---- 	Aaronit---- 	Aaronit---- 	-----nite 	Aa----ite 	Aar-----e 	Aaroni----- 	Aaronit----- 	--ro--ite---- 	---onite 	-a-onite 	-ar-nite 	-aro-ite 
Aaronitic	Aa-o-itic 	A-ron-tic 	-ar-nitic 	-aro-i-i- 	Aar-nitic- 	Aaron-tic--- 	Aaro-itic 	Aar-nitic 	Aaron-tic 	Aaronit-c 	Aaroniti- 	Aaronitic- 	Aaronitic- 	Aaronitic- 	Aaronitic- 	Aaronitic- 	-ar-nitic---- 	Aaronit-c--- 	Aaronit-c--- 	-----nitic 	Aa----itic 	Aar-----ic 	Aaroni----- 	Aaronit----- 	--ro--itic---- 	---onitic 	-a-onitic 	-ar-nitic 	-aro-itic 
Aaron's-beard	Aa-o-'s-beard 	A-ron-s-beard 	-ar-n's-beard 	-aro-'---eard 	Aar-n's-b-ard 	Aaron-s-b-ar-- 	Aaro-'s-beard 	Aar-n's-beard 	Aaron-s-beard 	Aaron's-beard 	Aaron's--eard 	Aaron's-b-ard 	Aaron's-be-rd 	Aaron's-bea-d 	Aaron's-bear- 	Aaron's-beard- 	-ar-n's-b-ard--- 	Aaron's-b-ard-- 	Aaron's-b-ard-- 	-----n's-beard 	Aa----'s-beard 	Aar------beard 	Aaron'-----ard 	Aaron's-----rd 	--ro--'s-be--rd-- 	---on's-beard 	-a-on's-beard 	-ar-n's-beard 	-aro-'s-beard 
Aaronsburg	Aa-o-sburg 	A-ron-burg 	-ar-nsburg 	-aro-s-u-g 	Aar-nsbur- 	Aaron-bur--- 	Aaro-sburg 	Aar-nsburg 	Aaron-burg 	Aaronsb-rg 	Aaronsbu-g 	Aaronsbur- 	Aaronsburg- 	Aaronsburg- 	Aaronsburg- 	Aaronsburg- 	-ar-nsbur---- 	Aaronsb-r--- 	Aaronsb-r--- 	-----nsburg 	Aa----sburg 	Aar-----urg 	Aarons----- 	Aaronsb----- 	--ro--sburg---- 	---onsburg 	-a-onsburg 	-ar-nsburg 	-aro-sburg 
Aaronson	Aa-o-son 	A-ron-on 	-ar-nson 	-aro-s-n- 	Aar-nson- 	Aaron-on--- 	Aaro-son 	Aar-nson 	Aaron-on 	Aaronso- 	Aaronson- 	Aaronson- 	Aaronson- 	Aaronson- 	Aaronson- 	Aaronson- 	-ar-nson---- 	Aaronso---- 	Aaronso---- 	-----nson 	Aa----son 	Aar-----n 	Aarons----- 	Aaronso----- 	--ro--son---- 	---onson 	-a-onson 	-ar-nson 	-aro-son 
AARP	AA-P- 	A-RP- 	-AR- 	-ARP--- 	AAR-- 	AARP---- 	AARP- 	AAR- 	AARP- 	AARP- 	AARP- 	AARP- 	AARP- 	AARP- 	AARP- 	AARP- 	-AR----- 	AARP---- 	AARP---- 	----- 	AA---- 	AAR----- 	AARP----- 	AARP----- 	--RP------ 	---P 	-A-P 	-AR- 	-ARP- 
aarrgh	aa-r-h 	a-rrg- 	-ar-gh 	-arr-h-- 	aar-gh- 	aarrg---- 	aarr-h 	aar-gh 	aarrg- 	aarrgh- 	aarrgh- 	aarrgh- 	aarrgh- 	aarrgh- 	aarrgh- 	aarrgh- 	-ar-gh---- 	aarrgh---- 	aarrgh---- 	-----gh 	aa----h 	aar----- 	aarrgh----- 	aarrgh----- 	--rr--h---- 	---rgh 	-a-rgh 	-ar-gh 	-arr-h 
aarrghh	aa-r-hh 	a-rrg-h 	-ar-ghh 	-arr-h-- 	aar-ghh- 	aarrg-h--- 	aarr-hh 	aar-ghh 	aarrg-h 	aarrghh- 	aarrghh- 	aarrghh- 	aarrghh- 	aarrghh- 	aarrghh- 	aarrghh- 	-ar-ghh---- 	aarrghh---- 	aarrghh---- 	-----ghh 	aa----hh 	aar----- 	aarrgh----- 	aarrghh----- 	--rr--hh---- 	---rghh 	-a-rghh 	-ar-ghh 	-arr-hh 
Aaru	Aa-u- 	A-ru- 	-ar- 	-aru--- 	Aar-- 	Aaru---- 	Aaru- 	Aar- 	Aaru- 	Aaru- 	Aaru- 	Aaru- 	Aaru- 	Aaru- 	Aaru- 	Aaru- 	-ar----- 	Aaru---- 	Aaru---- 	----- 	Aa---- 	Aar----- 	Aaru----- 	Aaru----- 	--ru------ 	---u 	-a-u 	-ar- 	-aru- 
AAS	AA-- 	A-S- 	-AS- 	-AS--- 	AAS-- 	AAS---- 	AAS- 	AAS- 	AAS- 	AAS- 	AAS- 	AAS- 	AAS- 	AAS- 	AAS- 	AAS- 	-AS----- 	AAS---- 	AAS---- 	----- 	AA---- 	AAS----- 	AAS----- 	AAS----- 	--S------ 	--- 	-A- 	-AS- 	-AS- 
A'asia	A'-s-a 	A-asi- 	-'a-ia 	-'as-a-- 	A'a-ia- 	A'asi---- 	A'as-a 	A'a-ia 	A'asi- 	A'asia- 	A'asia- 	A'asia- 	A'asia- 	A'asia- 	A'asia- 	A'asia- 	-'a-ia---- 	A'asia---- 	A'asia---- 	-----ia 	A'----a 	A'a----- 	A'asia----- 	A'asia----- 	--as--a---- 	---sia 	-'-sia 	-'a-ia 	-'as-a 
aasvogel	aa-v-gel 	a-svo-el 	-as-ogel 	-asv-g-l- 	aas-ogel- 	aasvo-el--- 	aasv-gel 	aas-ogel 	aasvo-el 	aasvoge- 	aasvogel- 	aasvogel- 	aasvogel- 	aasvogel- 	aasvogel- 	aasvogel- 	-as-ogel---- 	aasvoge---- 	aasvoge---- 	-----ogel 	aa----gel 	aas-----l 	aasvog----- 	aasvoge----- 	--sv--gel---- 	---vogel 	-a-vogel 	-as-ogel 	-asv-gel 
aasvogels	aa-v-gels 	a-svo-els 	-as-ogels 	-asv-g-l- 	aas-ogels- 	aasvo-els--- 	aasv-gels 	aas-ogels 	aasvo-els 	aasvoge-s 	aasvogel- 	aasvogels- 	aasvogels- 	aasvogels- 	aasvogels- 	aasvogels- 	-as-ogels---- 	aasvoge-s--- 	aasvoge-s--- 	-----ogels 	aa----gels 	aas-----ls 	aasvog----- 	aasvoge----- 	--sv--gels---- 	---vogels 	-a-vogels 	-as-ogels 	-asv-gels 
AAU	AA-- 	A-U- 	-AU- 	-AU--- 	AAU-- 	AAU---- 	AAU- 	AAU- 	AAU- 	AAU- 	AAU- 	AAU- 	AAU- 	AAU- 	AAU- 	AAU- 	-AU----- 	AAU---- 	AAU---- 	----- 	AA---- 	AAU----- 	AAU----- 	AAU----- 	--U------ 	--- 	-A- 	-AU- 	-AU- 
AAUP	AA-P- 	A-UP- 	-AU- 	-AUP--- 	AAU-- 	AAUP---- 	AAUP- 	AAU- 	AAUP- 	AAUP- 	AAUP- 	AAUP- 	AAUP- 	AAUP- 	AAUP- 	AAUP- 	-AU----- 	AAUP---- 	AAUP---- 	----- 	AA---- 	AAU----- 	AAUP----- 	AAUP----- 	--UP------ 	---P 	-A-P 	-AU- 	-AUP- 
AAUW	AA-W- 	A-UW- 	-AU- 	-AUW--- 	AAU-- 	AAUW---- 	AAUW- 	AAU- 	AAUW- 	AAUW- 	AAUW- 	AAUW- 	AAUW- 	AAUW- 	AAUW- 	AAUW- 	-AU----- 	AAUW---- 	AAUW---- 	----- 	AA---- 	AAU----- 	AAUW----- 	AAUW----- 	--UW------ 	---W 	-A-W 	-AU- 	-AUW- 
AAVSO	AA-S- 	A-VSO- 	-AV-O 	-AVS--- 	AAV-O- 	AAVSO---- 	AAVS- 	AAV-O 	AAVSO- 	AAVSO- 	AAVSO- 	AAVSO- 	AAVSO- 	AAVSO- 	AAVSO- 	AAVSO- 	-AV-O---- 	AAVSO---- 	AAVSO---- 	-----O 	AA---- 	AAV----- 	AAVSO----- 	AAVSO----- 	--VS------ 	---SO 	-A-SO 	-AV-O 	-AVS- 
AAX	AA-- 	A-X- 	-AX- 	-AX--- 	AAX-- 	AAX---- 	AAX- 	AAX- 	AAX- 	AAX- 	AAX- 	AAX- 	AAX- 	AAX- 	AAX- 	AAX- 	-AX----- 	AAX---- 	AAX---- 	----- 	AA---- 	AAX----- 	AAX----- 	AAX----- 	--X------ 	--- 	-A- 	-AX- 	-AX- 
A-axes	A--x-s 	A-axe- 	--a-es 	--ax-s-- 	A-a-es- 	A-axe---- 	A-ax-s 	A-a-es 	A-axe- 	A-axes- 	A-axes- 	A-axes- 	A-axes- 	A-axes- 	A-axes- 	A-axes- 	--a-es---- 	A-axes---- 	A-axes---- 	-----es 	A-----s 	A-a----- 	A-axes----- 	A-axes----- 	--ax--s---- 	---xes 	---xes 	--a-es 	--ax-s 
A-axis	A--x-s 	A-axi- 	--a-is 	--ax-s-- 	A-a-is- 	A-axi---- 	A-ax-s 	A-a-is 	A-axi- 	A-axis- 	A-axis- 	A-axis- 	A-axis- 	A-axis- 	A-axis- 	A-axis- 	--a-is---- 	A-axis---- 	A-axis---- 	-----is 	A-----s 	A-a----- 	A-axis----- 	A-axis----- 	--ax--s---- 	---xis 	---xis 	--a-is 	--ax-s 
AB	AB-- 	A-- 	-B- 	-B--- 	AB-- 	AB---- 	AB- 	AB- 	AB- 	AB- 	AB- 	AB- 	AB- 	AB- 	AB- 	AB- 	-B----- 	AB---- 	AB---- 	----- 	AB---- 	AB----- 	AB----- 	AB----- 	-------- 	--- 	-B- 	-B- 	-B- 
